OrderID,OrderDate,Region,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit,CustomerSegment,Returned,ShipMode,Comments
ORD-12515,2022-11-17 00:00:00,West,Furniture,Chairs,Chairs 2515,140.93,2,0.3,18.86,Consumer,No,Standard Class,Expedited delivery
ORD-13168,2023-08-04 00:00:00,South,Furniture,Tables,Tables 3168,369.66,6,0.2,63.15,Consumer,No,Same Day,Damaged box
ORD-14668,2022-08-05 00:00:00,North,Office Supplies,Storage,Storage 4668,92.4,4,0.4,3.4,Home Office,No,Second Class,
ORD-12843,2022-03-08 00:00:00,East,Furniture,Bookcases,Bookcases 2843,190.48,8,0.3,25.25,Consumer,No,Same Day,
ORD-14156,2022-08-29 00:00:00,south,Furniture,Furnishings,Furnishings 4156,516.9,3,0.5,18.74,Home Office,No,First Class,Delayed shipment
ORD-14042,2022-09-23 00:00:00,East,Office Supplies,Labels,Labels 4042,89.37,5,0.4,8.01,Home Office,No,Second Class,Delayed shipment
ORD-12287,2024-07-16 00:00:00,East,Office Supplies,Labels,Labels 2287,520.02,6,0.5,65.35,Consumer,No,Second Class,
ORD-14399,2023-08-16 00:00:00,South,Technology,Copiers,Copiers 4399,398.69,10,0.2,28.24,Home Office,No,Same Day,Customer requested refund
ORD-12625,2023-04-01 00:00:00,East,Technology,Machines,Machines 2625,238.93,10,0.1,22.95,Home Office,No,Same Day,Customer requested refund
ORD-11805,2023-06-29 00:00:00,North,Technology,Copiers,Copiers 1805,345.35,2,0.2,44.4,Corporate,No,First Class,Customer requested refund
ORD-10032,2021-07-11 00:00:00,East,Furniture,Chairs,Chairs 32,187.32,5,0.4,11.54,Home Office,No,Second Class,Delayed shipment
ORD-11118,2021-11-13 00:00:00,East,Office Supplies,Binders,Binders 1118,391.49,10,0.0,100.02,Corporate,No,Standard Class,Damaged box
ORD-11315,2021-10-29 00:00:00,north,Furniture,Chairs,Chairs 1315,371.74,9,0.4,52.36,Corporate,No,Same Day,
ORD-11329,2020-07-25 00:00:00,west,Office Supplies,Paper,Paper 1329,320.93,1,0.4,38.6,Corporate,Yes,Second Class,Delayed shipment
ORD-14214,2022-12-22 00:00:00,east,Office Supplies,Art,Art 4214,210.05,4,0.0,31.93,Home Office,No,First Class,Expedited delivery
ORD-13249,2024-11-22 00:00:00,North,Technology,Copiers,Copiers 3249,538.79,8,0.4,47.62,Consumer,No,Same Day,
ORD-11425,2022-08-21 00:00:00,West,Furniture,Bookcases,Bookcases 1425,151.48,2,0.4,19.36,Corporate,No,Second Class,
ORD-10610,2024-09-11 00:00:00,West,Furniture,Chairs,Chairs 610,98.34,8,0.3,16.7,Home Office,No,Second Class,Expedited delivery
ORD-12687,2020-07-01 00:00:00,West,Furniture,Bookcases,Bookcases 2687,162.29,10,0.1,11.24,Corporate,No,Same Day,Damaged box
ORD-10384,2024-04-28 00:00:00,South,Technology,Phones,Phones 384,769.69,9,0.4,28.7,Home Office,Yes,First Class,Expedited delivery
ORD-14139,2021-09-27 00:00:00,East,Office Supplies,Paper,Paper 4139,220.38,7,0.0,57.97,Consumer,No,First Class,
ORD-12582,2023-08-06 00:00:00,north,Furniture,Chairs,Chairs 2582,277.11,3,0.0,37.99,Consumer,Yes,Second Class,
